Zip,State,Municipality,Metro,County ,Year,Value,Population
27212,NC,Blanch,0,Caswell County,2017,125449.5719,1802
27214,NC,Browns Summit,"Greensboro-High Point, NC",Guilford County,2017,164332.7284,10706
27215,NC,Burlington,"Burlington, NC",Alamance County,2017,161323.9629,40081
27217,NC,0,"Burlington, NC",Alamance County,2017,102676.0577,37270
27229,NC,Candor,0,Montgomery County,2017,81988.18575,3544
27231,NC,Cedar Grove,"Durham-Chapel Hill, NC",Orange County,2017,201279.7426,1780
27233,NC,Climax,"Greensboro-High Point, NC",Randolph County,2017,159011.0908,3548
27235,NC,Colfax,"Greensboro-High Point, NC",Guilford County,2017,244764.3022,4205
27239,NC,Denton,"Winston-Salem, NC",Davidson County,2017,139876.6089,8896
27242,NC,Eagle Springs,"Pinehurst-Southern Pines, NC",Moore County,2017,84717.74567,2118
27243,NC,Efland,"Durham-Chapel Hill, NC",Orange County,2017,205536.5083,4391
27244,NC,Elon,"Burlington, NC",Alamance County,2017,173566.3548,14453
27248,NC,Franklinville,"Greensboro-High Point, NC",Randolph County,2017,138588.9596,4494
27249,NC,Gibsonville,"Greensboro-High Point, NC",Guilford County,2017,153694.3454,12638
27252,NC,Goldston,"Durham-Chapel Hill, NC",Chatham County,2017,154477.5998,2376
27253,NC,Graham,"Burlington, NC",Alamance County,2017,151706.0718,29766
27258,NC,Graham,"Burlington, NC",Alamance County,2017,168061.4427,7072
27260,NC,High Point,"Greensboro-High Point, NC",Guilford County,2017,63125.0895,24985
27262,NC,High Point,"Greensboro-High Point, NC",Guilford County,2017,113237.1079,24252
27263,NC,Archdale,"Greensboro-High Point, NC",Randolph County,2017,125004.6075,22196
27265,NC,High Point,"Greensboro-High Point, NC",Guilford County,2017,167479.381,50060
27278,NC,Hillsborough,"Durham-Chapel Hill, NC",Orange County,2017,255741.4357,26135
27281,NC,Jackson Springs,"Pinehurst-Southern Pines, NC",Moore County,2017,207902.3712,2804
27282,NC,Jamestown,"Greensboro-High Point, NC",Guilford County,2017,189732.591,17353
27283,NC,Julian,"Greensboro-High Point, NC",Guilford County,2017,145468.4991,2728
27284,NC,Kernersville,"Winston-Salem, NC",Forsyth County,2017,180898.2806,53894
27288,NC,Eden,"Greensboro-High Point, NC",Rockingham County,2017,90498.50275,23370
