Zip,State,Municipality,Metro,County ,Year,Value,Population
28137,NC,Richfield,"Albemarle, NC",Stanly County,2017,164281.1592,3240
28138,NC,Rockwell,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2017,147407.2335,9776
28139,NC,Rutherfordton,"Forest City, NC",Rutherford County,2017,133342.6345,20288
28144,NC,Salisbury,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2017,106809.8776,24596
28146,NC,Salisbury,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2017,157288.6771,27168
28147,NC,Salisbury,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2017,154396.984,25540
28150,NC,0,"Shelby, NC",Cleveland County,2017,100225.4015,27861
28152,NC,Shelby,"Shelby, NC",Cleveland County,2017,103783.8045,24894
28159,NC,Spencer,"Charlotte-Concord-Gastonia, NC-SC",Rowan County,2017,80102.67196,3003
28160,NC,Spindale,"Forest City, NC",Rutherford County,2017,58531.27635,3703
28163,NC,Stanfield,"Albemarle, NC",Stanly County,2017,188089.1606,5528
28164,NC,Stanley,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,2017,181422.638,14570
28166,NC,Troutman,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,2017,220967.6761,9462
28167,NC,Union Mills,"Forest City, NC",Rutherford County,2017,127270.0577,2823
28168,NC,Vale,"Hickory-Lenoir-Morganton, NC",Catawba County,2017,131336.8297,10503
28170,NC,Wadesboro,"Charlotte-Concord-Gastonia, NC-SC",Anson County,2017,54016.80331,11256
28173,NC,Waxhaw,"Charlotte-Concord-Gastonia, NC-SC",Union County,2017,367114.8987,54651
28174,NC,Wingate,"Charlotte-Concord-Gastonia, NC-SC",Union County,2017,141397.896,9717
28202,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,344248.8724,12094
28203,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,498862.868,14824
28204,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,451040.3422,6164
28205,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,246627.4544,46771
28206,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,120604.6251,12164
28207,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,1056801.13,9579
28208,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,106944.323,37678
28209,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,394076.626,22357
28210,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,319454.2712,48931
28211,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,487472.1575,30760
28212,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,143708.3295,44800
28213,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,156319.7837,40427
28214,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,155458.1132,39950
28215,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,156553.9493,59742
28216,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,143900.3206,51205
28217,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,131020.2232,28895
28226,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,367995.6081,38452
28227,NC,Mint Hill,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,187264.685,55902
28262,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,175820.0016,44040
28269,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,180744.6455,76673
28270,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,347060.3224,33478
28273,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,187720.3285,37654
28277,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,338071.2495,70582
28278,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2017,281363.7789,25018
28301,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,67002.453,18195
28303,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,112518.4736,29056
28304,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,98429.32817,37201
28305,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,166904.6167,5961
28306,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,147792.8989,41564
28311,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,134885.0014,36264
28312,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,147603.2142,18939
28314,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,116643.786,56987
28315,NC,Aberdeen,"Pinehurst-Southern Pines, NC",Moore County,2017,172616.8472,14082
28318,NC,Autryville,0,Sampson County,2017,110361.4127,4593
28320,NC,Bladenboro,0,Bladen County,2017,85089.53415,9640
28323,NC,Linden,"Fayetteville, NC",Harnett County,2017,163877.877,3837
28326,NC,Cameron,"Fayetteville, NC",Harnett County,2017,179490.7409,22162
28327,NC,Carthage,"Pinehurst-Southern Pines, NC",Moore County,2017,214424.2287,15434
28328,NC,Clinton,0,Sampson County,2017,92294.38552,27883
28333,NC,Dudley,"Goldsboro, NC",Wayne County,2017,66862.09818,10542
28334,NC,Dunn,"Fayetteville, NC",Harnett County,2017,117586.0113,25103
28337,NC,Elizabethtown,0,Bladen County,2017,108335.2277,10383
28338,NC,Ellerbe,"Rockingham, NC",Richmond County,2017,0,4381
28339,NC,Erwin,"Fayetteville, NC",Harnett County,2017,95698.41814,7255
28340,NC,0,"Lumberton, NC",Robeson County,2017,0,9712
28341,NC,Faison,0,Sampson County,2017,84950.99812,4405
28343,NC,Gibson,"Laurinburg, NC",Scotland County,2017,0,1317
28344,NC,Wade,"Fayetteville, NC",Cumberland County,2017,118293.9559,3957
28345,NC,Hamlet,"Rockingham, NC",Richmond County,2017,66882.2445,12097
28348,NC,Hope Mills,"Fayetteville, NC",Cumberland County,2017,144507.4538,35723
28349,NC,Kenansville,0,Duplin County,2017,100490.5789,3094
28351,NC,Laurel Hill,"Laurinburg, NC",Scotland County,2017,58726.35817,4716
28352,NC,Laurinburg,"Laurinburg, NC",Scotland County,2017,75933.08012,25823
28356,NC,Linden,"Fayetteville, NC",Cumberland County,2017,164729.3816,4956
28357,NC,Lumber Bridge,"Lumberton, NC",Robeson County,2017,114165.7929,2583
28358,NC,Lumberton,"Lumberton, NC",Robeson County,2017,83971.23274,39103
28360,NC,Lumberton,"Lumberton, NC",Robeson County,2017,100334.9601,14594
28363,NC,Wagram,"Laurinburg, NC",Scotland County,2017,0,1525
28364,NC,Maxton,"Lumberton, NC",Robeson County,2017,58957.20592,15321
28365,NC,Mount Olive,0,Duplin County,2017,94659.8767,17369
28366,NC,Newton Grove,0,Sampson County,2017,90753.4856,5364
28369,NC,Proctorville,"Lumberton, NC",Robeson County,2017,0,2736
28371,NC,Parkton,"Lumberton, NC",Robeson County,2017,119400.3182,7425
28372,NC,Pembroke,"Lumberton, NC",Robeson County,2017,0,14493
28373,NC,Pinebluff,"Pinehurst-Southern Pines, NC",Moore County,2017,145140.4014,2585
28374,NC,Pinehurst,"Pinehurst-Southern Pines, NC",Moore County,2017,295560.5827,17205
28376,NC,Raeford,"Fayetteville, NC",Hoke County,2017,158170.4385,43211
28377,NC,Red Springs,"Lumberton, NC",Robeson County,2017,50961.54486,13240
28379,NC,Rockingham,"Rockingham, NC",Richmond County,2017,82278.42258,24831
28382,NC,Roseboro,0,Sampson County,2017,73232.66194,6632
28383,NC,Elrod,"Lumberton, NC",Robeson County,2017,0,9029
28384,NC,Saint Pauls,"Lumberton, NC",Robeson County,2017,75255.88906,11151
28385,NC,Salemburg,0,Sampson County,2017,0,2638
28386,NC,0,"Lumberton, NC",Robeson County,2017,0,6240
28387,NC,Southern Pines,"Pinehurst-Southern Pines, NC",Moore County,2017,249552.5744,14641
28390,NC,Spring Lake,"Fayetteville, NC",Harnett County,2017,135782.9151,23990
28391,NC,Stedman,"Fayetteville, NC",Cumberland County,2017,144947.6713,5863
28393,NC,Turkey,0,Sampson County,2017,0,2124
28394,NC,Vass,"Pinehurst-Southern Pines, NC",Moore County,2017,197104.4777,5333
28395,NC,Fayetteville,"Fayetteville, NC",Cumberland County,2017,140581.9317,2313
28396,NC,Wagram,"Laurinburg, NC",Scotland County,2017,101478.6396,2729
28398,NC,Warsaw,0,Duplin County,2017,87238.17486,7866
28401,NC,Wilmington,"Wilmington, NC",New Hanover County,2017,133903.2726,23923
28403,NC,Wilmington,"Wilmington, NC",New Hanover County,2017,214562.3608,40404
28405,NC,Wilmington,"Wilmington, NC",New Hanover County,2017,194602.6272,31788
28409,NC,Wilmington,"Wilmington, NC",New Hanover County,2017,271840.7794,33631
28411,NC,Wilmington,"Wilmington, NC",New Hanover County,2017,252751.2711,35675
28412,NC,Wilmington,"Wilmington, NC",New Hanover County,2017,220343.6688,37788
28420,NC,Ash,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,151581.0999,3751
28421,NC,Atkinson,"Wilmington, NC",Pender County,2017,105864.7746,1363
28422,NC,Bolivia,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,198313.8609,8068
28423,NC,Bolton,0,Columbus County,2017,0,2471
28425,NC,Burgaw,"Wilmington, NC",Pender County,2017,140537.5129,11903
28428,NC,Carolina Beach,"Wilmington, NC",New Hanover County,2017,319071.9484,6542
28429,NC,Castle Hayne,"Wilmington, NC",New Hanover County,2017,177245.9094,7799
28430,NC,Cerro Gordo,0,Columbus County,2017,0,2046
28431,NC,Chadbourn,0,Columbus County,2017,100588.2136,6652
28432,NC,Clarendon,0,Columbus County,2017,0,2058
28433,NC,Clarkton,0,Bladen County,2017,87925.26566,5185
28435,NC,Currie,"Wilmington, NC",Pender County,2017,124487.4331,2291
28436,NC,Delco,0,Columbus County,2017,0,2102
28438,NC,Evergreen,0,Columbus County,2017,0,1595
28439,NC,Fair Bluff,0,Columbus County,2017,0,1167
28441,NC,Garland,0,Sampson County,2017,61229.72928,4239
28442,NC,Hallsboro,0,Columbus County,2017,0,1552
28443,NC,Hampstead,"Wilmington, NC",Pender County,2017,280389.0043,21002
28444,NC,Harrells,0,Sampson County,2017,104662.5978,1803
28445,NC,Holly Ridge,"Jacksonville, NC",Onslow County,2017,263283.8204,6712
28447,NC,Harrells,0,Bladen County,2017,96205.06329,1624
28449,NC,Kure Beach,"Wilmington, NC",New Hanover County,2017,399659.2405,1869
28450,NC,Lake Waccamaw,0,Columbus County,2017,215633.4568,2598
28451,NC,Leland,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,215494.3659,32378
28453,NC,Magnolia,0,Duplin County,2017,0,3845
28454,NC,Maple Hill,"Jacksonville, NC",Onslow County,2017,138094.9861,2349
28455,NC,Nakina,0,Columbus County,2017,0,1668
28456,NC,Riegelwood,0,Columbus County,2017,110779.9076,3648
28457,NC,Rocky Point,"Wilmington, NC",Pender County,2017,196107.6248,9854
28458,NC,Rose Hill,0,Duplin County,2017,78875.33453,7221
28460,NC,Sneads Ferry,"Jacksonville, NC",Onslow County,2017,225153.7993,10479
28461,NC,Southport,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,287364.9288,19287
28462,NC,Supply,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,259368.0945,12310
28463,NC,Tabor City,0,Columbus County,2017,114241.8014,9822
28464,NC,Teachey,0,Duplin County,2017,103269.8622,2276
28465,NC,Oak Island,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,253690.5314,7033
28466,NC,Wallace,0,Duplin County,2017,111051.3502,9767
28467,NC,Carolina Shores,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,203903.5295,9422
28468,NC,Sunset Beach,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,282736.2794,5255
28469,NC,Ocean Isle Beach,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",Brunswick County,2017,316936.2532,5736
